Name;DataType;Length;Coding;Address
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_ING.PARAMETRI_MOT.MAX_CORRENTE;Real;4;IEEE754;%DB2000.DBD17718
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_ING.PARAMETRI_MOT.MAX_COPPIA;Real;4;IEEE754;%DB2000.DBD17722
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_ING.PARAMETRI_MOT.GIRI_MOTORE_MAX;Real;4;IEEE754;%DB2000.DBD17726
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_ING.PARAMETRI_MOT.RAPPORTO_RIDUZIONE;Real;4;IEEE754;%DB2000.DBD17730
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_ING.PARAMETRI_MOT.VELOCITA_INVERTER;Real;4;IEEE754;%DB2000.DBD17734
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_OUT.REALE_VELOCITA;Real;4;IEEE754;%DB2000.DBD17738
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_OUT.REALE_CORRENTE;Real;4;IEEE754;%DB2000.DBD17742
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_OUT.REALE_CORRENTE_PERCENTUALE;Real;4;IEEE754;%DB2000.DBD17746
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_OUT.REALE_COPPIA;Real;4;IEEE754;%DB2000.DBD17750
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_OUT.IN_RUN;Bool;1;Binary;%DB2000.DBX17754.0
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_OUT.ANOMALIA_ATTIVA;Bool;1;Binary;%DB2000.DBX17754.1
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.PARAMETRI_OUT.AVVISO_ATTIVO;Bool;1;Binary;%DB2000.DBX17754.2
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.SET_ALLARMI.SET_AMPER_ALLARME;Real;4;IEEE754;%DB2000.DBD17756
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.SET_ALLARMI.TEMPO_FILTRO_AMP;Real;4;IEEE754;%DB2000.DBD17760
CMD_GRUPPO_RAFFREDDO.LAMA_ARIA_SUP.SET_ALLARMI.OUT.ALLA_MAX_AMP;Bool;1;Binary;%DB2000.DBX17764.0
CMD_TERMOREGOLAZIONE.SETUP_LOSSANI;Bool;1;Binary;%DB2000.DBX17766.0
CMD_TERMOREGOLAZIONE.ABIL_GEN_ZONE_EXT_A;Bool;1;Binary;%DB2000.DBX17766.1
CMD_TERMOREGOLAZIONE.ABIL_GEN_ZONE_EXT_B;Bool;1;Binary;%DB2000.DBX17766.2
CMD_TERMOREGOLAZIONE.ABIL_GEN_ZONE_TESTA;Bool;1;Binary;%DB2000.DBX17766.3
CMD_TERMOREGOLAZIONE.ABIL_FORNI;Bool;1;Binary;%DB2000.DBX17766.4
CMD_TERMOREGOLAZIONE.EN_QE.AMP_L1;UDInt;4;Binary;%DB2000.DBD17768
CMD_TERMOREGOLAZIONE.EN_QE.AMP_L2;UDInt;4;Binary;%DB2000.DBD17772
CMD_TERMOREGOLAZIONE.EN_QE.AMP_L3;UDInt;4;Binary;%DB2000.DBD17776
CMD_TERMOREGOLAZIONE.EN_TERMO.AMP_L1;UDInt;4;Binary;%DB2000.DBD17780
CMD_TERMOREGOLAZIONE.EN_TERMO.AMP_L2;UDInt;4;Binary;%DB2000.DBD17784
CMD_TERMOREGOLAZIONE.EN_TERMO.AMP_L3;UDInt;4;Binary;%DB2000.DBD17788
CMD_TERMOREGOLAZIONE.EN_FORNO.AMP_L1;UDInt;4;Binary;%DB2000.DBD17792
CMD_TERMOREGOLAZIONE.EN_FORNO.AMP_L2;UDInt;4;Binary;%DB2000.DBD17796
CMD_TERMOREGOLAZIONE.EN_FORNO.AMP_L3;UDInt;4;Binary;%DB2000.DBD17800
CMD_FORNO.ON_GENERALE;Bool;1;Binary;%DB2000.DBX17804.0
CMD_FORNO.OFF_GENERALE;Bool;1;Binary;%DB2000.DBX17804.1
CMD_FORNO.ZONE[1].ABILITAZIONE;Bool;1;Binary;%DB2000.DBX17806.0
CMD_FORNO.ZONE[1].SET;Real;4;IEEE754;%DB2000.DBD17808
CMD_FORNO.ZONE[1].DELTA_POS;Real;4;IEEE754;%DB2000.DBD17812
CMD_FORNO.ZONE[1].DELTA_NEG;Real;4;IEEE754;%DB2000.DBD17816
